,SEARCHVAL,X,Y,LATITUDE,LONGITUDE
163,260 YISHUN STREET 22 SINGAPORE 760260,28663.0297224009,46353.3311751988,1.43547754128002,103.839276532996
164,25 HOUGANG AVENUE 3 SINGAPORE 530025,34497.8210579138,38651.7409682088,1.36582642261344,103.891705966146
165,766 YISHUN AVENUE 3 SINGAPORE 760766,28070.2442159951,45161.8693771269,1.42470239952978,103.833949786818
166,TELOK BLANGAH PARCVIEW,25142.6963184187,28742.8649800066,1.27621463534143,103.807644658523
167,123 ANG MO KIO AVENUE 6 SINGAPORE 560123,29278.3883646317,39166.3653997257,1.37048118793194,103.844805800791
168,PING-AN GARDENS,37848.3588521136,34164.235611679,1.3252421417405,103.921811368429
169,PAYA LEBAR LODGE,34168.8993026093,36857.4451471586,1.34959952841041,103.888750009608
170,18 GHIM MOH ROAD SINGAPORE 270018,22854.350092154,32495.3562405389,1.31015054686008,103.787082418192
171,CHONG PANG VALE,27505.3015013793,46315.5429898538,1.43513580201461,103.828873241093
172,THE LENTOR RESIDENCE,28436.5943913888,41489.6324344333,1.39149200770667,103.837241721986
173,210 JURONG EAST STREET 21 SINGAPORE 600210,17453.8336169757,35673.9198565613,1.33889493784685,103.73855509854
174,FERNVALE GLADES,32163.2143652514,41778.6440976635,1.39410542991766,103.870728366216
175,WATERFRONT I @ NORTHSHORE,35503.5283912513,44356.0979972016,1.41741430696277,103.900744398319
176,ANCHORVALE PLAINS,33824.9019121192,41674.0990872625,1.39315967650223,103.88565992411
177,DOVER COURT,22430.4991016621,31749.7728673071,1.30340768255151,103.783274045827
178,CHENG SAN COURT,30072.4230311923,39216.3560924381,1.37093324079314,103.851940766136
179,150 MEI LING STREET SINGAPORE 141150,24703.6330025252,30809.3414979223,1.29490307854693,103.803699298575
180,CLEMENTI MEADOWS,20501.9723700881,33614.3851796389,1.32027016006349,103.765944899873
181,126 HOUGANG AVENUE 1 SINGAPORE 530126,33830.6918444568,37148.3359678891,1.35223030818128,103.885711060613
182,REN CI @ BUKIT BATOK ST. 52,18901.1782858102,37453.7112295479,1.35499119318065,103.75155979178
183,GOLDEN JASMINE,30312.5415490679,36385.7465885412,1.3453342006773,103.854098182349
184,CHENG SAN PLACE,30717.3733190438,39292.9307314958,1.3716257020332,103.857736107527
185,861 WOODLANDS STREET 83 SINGAPORE 730861,23761.9708461184,46815.8578688521,1.43966015258891,103.795235776713
186,175 MACPHERSON ROAD SINGAPORE 348537,32588.6200707275,34713.2018251084,1.33020804167321,103.874549888013
187,602 CLEMENTI WEST STREET 1 SINGAPORE 120602,20541.5548415063,31939.6151745804,1.30512415125823,103.766300972142
188,150A PANDAN GARDENS SINGAPORE 609342,18465.8114776965,33727.5892245527,1.3212933695135,103.747648912115
189,350 TAMPINES STREET 33 SINGAPORE 520350,42424.8731472902,37322.9588670544,1.35380661871004,103.962935246726
190,CORPORATION TIARA,15504.9330212735,35003.7683546618,1.33283359282698,103.721043381424
191,LIMBANG GREEN,18187.1883010343,41813.0147249643,1.39441490205275,103.745142689272
192,128 PENDING ROAD SINGAPORE 670128,20927.4051351417,39776.1582137719,1.37599511163058,103.769766187776
193,GOLDEN CLOVER,30860.2175896922,34834.4660524782,1.33130492413517,103.859019241044
194,WHAMPOA COMMUNITY CLUB,30657.8965191636,34122.6458281148,1.32486749296569,103.85720121091
195,ALKAFF LAKEVIEW,32403.5045328625,35489.4825334083,1.33722847497236,103.872886634076
196,386 BUKIT BATOK WEST AVENUE 5 SINGAPORE 650386,19012.082054765,38443.1579966731,1.36393942184816,103.752556035691
197,GOLDEN PEONY,14909.3634959934,36673.7684887033,1.34793619788802,103.715691141274
198,TECK WHYE VISTA,19679.7367809545,40125.1832374278,1.37915123926616,103.758554890844
199,COMMONWEALTH 10,23971.7618431533,31497.7915699128,1.30112909158394,103.797123032464
200,417 BUKIT BATOK WEST AVENUE 4 SINGAPORE 650417,18342.4790389994,38327.2510208134,1.3628909909218,103.746539240126
201,TECK WHYE CREST,19119.1064367834,40521.702117553,1.38273704594211,103.753517098194
202,TOH YI GARDENS,21538.0544423219,35660.4535095338,1.33877430429858,103.775254200454
203,544 BEDOK NORTH STREET 3 SINGAPORE 460544,38119.3654841576,34750.6837287266,1.33054567545015,103.924246700188
204,MARSILING SPRING,21671.6152499523,46788.0246720146,1.43940804570463,103.776451916046
205,344 CLEMENTI AVENUE 5 SINGAPORE 120344,20851.8072136501,33376.7039306164,1.31812073993323,103.769088401723
206,50 WOODLANDS ROAD SINGAPORE 677726,19859.0948034935,40518.9686462116,1.38271254101906,103.760166444878
207,MEMBINA COURT,27140.1372558558,29503.3232511561,1.28309207069724,103.825592376594
208,WOODLANDS CARE HOME,24802.9018493434,47531.1145384796,1.44612881154559,103.804589469079
209,BUKIT GOMBAK VISTA,18712.8644814454,37921.2608345635,1.35921948269437,103.749867526921
210,DEPOT HEIGHTS,25775.6957771871,29193.6409159508,1.28029134553105,103.81333235886
211,ANCHORVALE HORIZON,34153.5746224532,41905.9421567824,1.39525631314867,103.888613356075
212,GOLDEN GINGER,32446.3476833627,38781.9998717643,1.36700481675918,103.873272091323
213,KEBUN BARU LINK 2,28561.1630048091,39851.4714648761,1.37667706463381,103.838361037555
214,TECK GHEE VISTA,29357.0220135506,38592.0869190171,1.36528761496625,103.845512353446
215,GEYLANG EAST GROVE,33904.5226907916,33301.8306246549,1.31744387800501,103.886373732265
216,98 ALJUNIED CRESCENT SINGAPORE 380098,33829.2417053571,33680.1475803591,1.32086525583011,103.885697365861
217,KHATIB COURT,27928.6222270653,44400.7701208852,1.4178192926766,103.832677186013
218,55 PIPIT ROAD SINGAPORE 370055,34127.609777445,33997.8910665959,1.32373875593209,103.888378421591
219,GOLDEN SAFFRON,24025.9510381538,47413.5895572826,1.44506585872386,103.797607810105
220,9 TECK WHYE LANE SINGAPORE 680009,19189.0336817931,40222.9222798143,1.38003501182773,103.754145535915
221,LIMBANG MEADOWS,18065.6125858435,41525.9190856405,1.39181847386694,103.744050333747
222,SUNSHINE COURT,17382.5353231067,39925.7439513616,1.37734684156778,103.737912934165
223,TAMPINES ALCOVES,41376.0244330084,38473.8480068874,1.36421531545345,103.953511202271
224,HOUGANG DEWCOURT,34717.4847448049,38456.7808897123,1.36406322514465,103.893679750644
225,513 WELLINGTON CIRCLE SINGAPORE 750513,26532.9075346719,48424.4288877957,1.45420776620009,103.82013524496
226,TAMPINES RIA,41665.1374637159,37956.9194251094,1.35954027648641,103.956108837804
227,SENJA GATEWAY,19654.5804845961,40895.7422979604,1.38611988630201,103.758328624429
228,162 YISHUN STREET 11 SINGAPORE 760162,27897.5443326393,46085.5029538572,1.43305540741239,103.832397917463
229,223A SERANGOON AVENUE 4 SINGAPORE 551223,32209.5950258123,37768.781053979,1.35784166371874,103.871144562235
230,KEAT HONG AXIS,18173.254374194,39689.4070245679,1.37520977307986,103.745018192833
231,GEYLANG BAHRU VILLE,32000.2624373911,33840.0075731464,1.32231126658548,103.869263053603
232,TAMPINES GREENWOOD,39130.6181845246,37549.6125513017,1.35585780112316,103.933334387633
233,51 CHIN SWEE ROAD SINGAPORE 160051,28969.4831599081,29980.0047673974,1.2874030079153,103.842029778891
234,PUNGGOL EMERALD,35258.697057507,43091.415071059,1.40597704114999,103.898544055197
235,CHIN SWEE VIEW,28677.5967041207,29977.197411906,1.2873776268224,103.839407060595
236,5 BANDA STREET SINGAPORE 050005,29126.1334146298,29293.8179838881,1.28119737026913,103.843437320613
237,TREEGROVE@WOODLANDS,23702.3065360785,46582.6578856241,1.4375511678734,103.794699670585
238,PUNGGOL RIPPLES,35411.9336890252,42559.8691719044,1.40116989540271,103.899920878173
239,GOLDEN MINT,33972.6666370053,40138.1584561523,1.37926915596285,103.88698739385
240,GOLDEN DAISY,19371.1535065062,36631.0561261605,1.34755153967044,103.755783055819
