POSTAL,LATITUDE,LONGITUDE
128628,1.308348542,103.7619634
688415,1.390569509,103.7508885
637671,1.292277192,103.6242211
650422,1.362189055,103.7457749
658382,1.36975014,103.7524719
127316,1.293905075,103.7666932
266285,1.320899158,103.791783
600035,1.31955256,103.7426448
266938,1.322917341,103.8075627
127445,1.317937911,103.7508223
598581,1.340560545,103.7741763
638715,1.314712979,103.6460844
629605,1.321067171,103.6721185
286747,1.329204246,103.805211
286859,1.33665556,103.8061656
691128,1.357932376,103.7338778
691131,1.356605564,103.7333656
692125,1.359552598,103.7355427
641239,1.341760806,103.7107676
289721,1.335838635,103.8039159
683807,1.376156002,103.7458213
278671,1.330274945,103.7881041
658374,1.369739901,103.7522566
658376,1.369742223,103.7523079
629831,1.333894736,103.7040845
658080,1.338581626,103.7570568
677689,1.370888911,103.7728548
677685,1.37062816,103.7734585
677684,1.370675997,103.7734318
598321,1.33301209,103.7786143
669058,1.360014307,103.7586714
680210,1.382525506,103.7479371
680217,1.383356942,103.746606
680226,1.38115995,103.7452927
276819,1.317643158,103.781008
589204,1.341759978,103.7853538
288253,1.334185856,103.8032663
268253,1.322844884,103.7970604
618398,1.339639085,103.7178467
638520,1.312897216,103.6562185
289370,1.33599279,103.8064299
681611,1.400448246,103.743712
277569,1.332049901,103.7928555
638145,1.339316209,103.6911544
268573,1.323383027,103.7937907
289558,1.336011424,103.8013598
729571,1.410668862,103.7453909
118780,1.29240058,103.7683835
118783,1.29240058,103.7683835
129173,1.323238023,103.755778
117436,1.291260567,103.7725276
609917,1.329060629,103.7486679
670475,1.38894624,103.7726372
596137,1.334585329,103.7788464
143041,1.296892979,103.8068218
127661,1.318120963,103.7550181
119549,1.279939274,103.790549
266943,1.322586059,103.8073199
267840,1.314046821,103.7980279
279869,1.332613821,103.7914574
739826,1.41549627,103.7574673
638222,1.338288394,103.6901603
117553,1.295467181,103.779774
597770,1.343327913,103.7722792
260007,1.31624053,103.8056367
266941,1.321950441,103.8073956
658309,1.368619739,103.7522391
677851,1.372489264,103.7724336
629761,1.326736397,103.6867444
602240,1.340896293,103.7426838
279042,1.314232845,103.7832326
266927,1.322740373,103.8079728
679237,1.36918636,103.7689453
637941,1.337750465,103.6918321
637922,1.336752303,103.6908306
288124,1.340294519,103.7909177
277343,1.317930455,103.7828485
679775,1.371330235,103.7683874
629830,1.333817695,103.7040845
678214,1.36783212,103.7663859
599327,1.334472475,103.7703453
286684,1.328440496,103.8057167
277011,1.315751192,103.7862231
600351,1.344832356,103.7307783
600352,1.344922895,103.7304008
600353,1.344423923,103.730508
269895,1.319367479,103.8006672
278921,1.314485143,103.78073
118527,1.275030169,103.7948291
637949,1.337623523,103.6915583
652448,1.353149,103.7408466
119691,1.279896143,103.788542
279131,1.311838758,103.7851385
269541,1.323123462,103.8096421
121432,1.314238622,103.7631164
627617,1.318376822,103.6993518
669952,1.357937836,103.7574314
618379,1.33962472,103.7171857
637876,1.29809243,103.6309953
127162,1.310884676,103.7627451
287732,1.3274132,103.8087886
668667,1.357917386,103.7609622
117996,1.280685608,103.7916501
268127,1.319393115,103.8077366
658012,1.369011206,103.7531656
117351,1.271532397,103.7933799
277697,1.311969568,103.7943657
658728,1.33909762,103.7610331
670413,1.382303528,103.7688012
119536,1.279392657,103.7911067
117652,1.280146115,103.7895756
287692,1.329050108,103.8075324
596792,1.338932232,103.7646016
698925,1.375520548,103.7189288
658473,1.371060273,103.7511628
588613,1.337843263,103.7887724
629931,1.315510209,103.679532
728685,1.409475716,103.7445463
267234,1.324643084,103.7966495
649849,1.339174834,103.7086556
279694,1.332074774,103.792483
119725,1.279881121,103.7874132
678818,1.359818983,103.7678487
658435,1.369523065,103.7519711
119635,1.291702025,103.7728379
619774,1.325494857,103.7223303
651411,1.363911883,103.7456621
267974,1.320454232,103.8051693
286801,1.329084686,103.8053878
286743,1.329056023,103.8054321
286742,1.329028284,103.8054775
597030,1.342916934,103.7743613
658351,1.370054546,103.7514673
286638,1.328501162,103.8088927
118728,1.291031514,103.7711129
127146,1.310308812,103.7613491
118547,1.276151946,103.7930851
598216,1.335571304,103.7723218
127532,1.31683964,103.7543727
289757,1.345741202,103.7899156
279121,1.31153642,103.7847684
588728,1.335736159,103.7877157
648463,1.351427478,103.6986683
678150,1.373472475,103.7631207
596616,1.337627876,103.7657208
287687,1.328960226,103.8081232
680812,1.372481975,103.7455243
279264,1.322106034,103.7847031
279340,1.32079108,103.7872172
138821,1.293342941,103.7975205
288426,1.328099617,103.811266
119379,1.278515598,103.7896001
279760,1.324265154,103.7840735
278183,1.310016915,103.7981258
269635,1.312752525,103.8000439
639643,1.352629662,103.6877977
278701,1.324635681,103.7851687
129785,1.310945811,103.772769
289967,1.337146921,103.8155639
639670,1.351385903,103.6861764
637655,1.289424238,103.6465817
629019,1.328797761,103.6738267
648351,1.351018055,103.6971903
611117,1.335374415,103.7234756
698930,1.372757993,103.7166185
708972,1.388720678,103.699205
650465,1.357950977,103.7426957
598204,1.335363627,103.7716902
596324,1.34224751,103.7744831
637131,1.279410287,103.6259817
269870,1.315692365,103.7988619
678825,1.360514254,103.767823
598840,1.340610792,103.7651838
138824,1.293041175,103.7981498
128995,1.323598927,103.7551808
637803,1.295743553,103.6246476
128609,1.308526961,103.7615101
128622,1.308328964,103.7617906
286704,1.328575576,103.8057417
628716,1.331169785,103.7012417
277953,1.317012643,103.7867786
689392,1.377831137,103.7580703
589111,1.338162189,103.7854019
628917,1.328791936,103.6951098
597571,1.346747845,103.7646038
287143,1.33024619,103.8091873
596246,1.33604984,103.7707925
599746,1.343641748,103.7750323
276860,1.314708257,103.7845286
269107,1.32401297,103.8059035
639546,1.34704403,103.6855352
118561,1.277539825,103.7892618
627847,1.333097026,103.6945931
670508,1.386345394,103.7688318
598451,1.345658991,103.7652422
118673,1.288697484,103.7763601
129207,1.323390707,103.7570748
127319,1.294022683,103.7664005
277087,1.316785709,103.7810555
679191,1.3667032,103.7683023
677811,1.372507302,103.7738613
638045,1.306904718,103.6302771
688669,1.392398468,103.7524892
127474,1.317191737,103.7533397
650641,1.348991526,103.7513582
286954,1.336167991,103.8053921
678076,1.359999128,103.767551
277807,1.32961557,103.7943677
728652,1.409575822,103.7562349
588315,1.339823772,103.7855122
629585,1.316089816,103.6600806
618687,1.33230771,103.7156835
119936,1.277664591,103.797743
619337,1.308738546,103.7223559
619338,1.308738546,103.7223559
266902,1.324218832,103.8089368
597114,1.325823397,103.7655968
276481,1.330547936,103.7949351
267843,1.315589529,103.7976545
680235,1.379756644,103.7487492
718898,1.441220887,103.7301851
127363,1.296062134,103.7686245
126811,1.296244925,103.7677114
276782,1.316940864,103.7804504
278631,1.319507346,103.7815175
680549,1.393390172,103.7427471
269034,1.321824946,103.8063888
597752,1.34321844,103.7728652
277122,1.317553072,103.7807247
277941,1.31642414,103.7875067
279911,1.319379642,103.7849176
279329,1.320010561,103.7868772
598331,1.334250733,103.7800207
599143,1.334105591,103.7670601
599026,1.336919883,103.7701626
598479,1.34413415,103.7675935
598849,1.340766768,103.7667576
266733,1.322800863,103.8110235
629033,1.326276741,103.6773297
611175,1.331952223,103.721514
638139,1.33919214,103.6913416
278708,1.312742492,103.7911964
598304,1.333986239,103.7792062
277962,1.317478907,103.7863143
287257,1.327952943,103.8074907
117940,1.27911961,103.7904397
266188,1.322106565,103.8026965
597902,1.344280293,103.7714989
289568,1.335457545,103.7995846
596655,1.338451369,103.7690931
269907,1.31339278,103.7991496
129794,1.293416187,103.7683647
658332,1.368993469,103.7527872
673443,1.380570531,103.7697327
629834,1.334127895,103.7040846
650147,1.349577518,103.7436013
609263,1.300007633,103.753874
266516,1.319832586,103.8018695
668762,1.359437839,103.7622961
